id,title,description,date,startTime,endTime,zoneId,speaker,capacity
event-1,Регистрация участников,Регистрация и получение бейджей,2024-03-15,08:00,09:00,zone-5,,300
event-2,Открытие форума,Торжественное открытие форума с приветственными речами,2024-03-15,09:00,10:00,zone-1,Иванов Иван Иванович,500
event-3,Пленарная сессия,Основные тренды развития индустрии в 2024 году,2024-03-15,10:00,11:30,zone-1,Петров Петр Петрович,500
event-4,Кофе-брейк,Перерыв на кофе и нетворкинг,2024-03-15,11:30,12:00,zone-6,,200
event-5,Секция А: Инновации,Новые технологии и их применение,2024-03-15,12:00,13:30,zone-2,Сидорова Светлана Сергеевна,100
event-6,Секция Б: Маркетинг,Цифровой маркетинг и продвижение,2024-03-15,12:00,13:30,zone-3,Козлов Константин Константинович,80
event-7,Обед,Обеденный перерыв,2024-03-15,13:30,14:30,zone-6,,300
event-8,Мастер-класс: Практика внедрения,Практические кейсы внедрения инноваций,2024-03-15,14:30,16:00,zone-2,Новиков Николай Николаевич,50
event-9,Мастер-класс: Кейсы успеха,Разбор успешных проектов,2024-03-15,14:30,16:00,zone-3,Морозова Мария Михайловна,50
event-10,Панельная дискуссия,Будущее индустрии: взгляд экспертов,2024-03-15,16:00,17:30,zone-1,Модератор: Волков Владимир Владимирович,500
event-11,Закрытие форума,Подведение итогов и награждение,2024-03-15,17:30,18:00,zone-1,Иванов Иван Иванович,500
event-12,Networking,Неформальное общение участников,2024-03-15,18:00,20:00,zone-7,,150
